subject_id,collected_at,trial_index,start_x,start_y,end_x,end_y,zone_x,zone_y,duration_ms,success
test-verif,2026-06-26T11:37:02.725Z,2,60,396,666.7265625,352.359375,640.2625380581635,308.4343320564236,733.3999999999069,True
test-verif,2026-06-26T11:37:02.725Z,3,60,396,688.37109375,124.8046875,641.8886544952568,96.4716835709797,567.7000000001863,True
test-verif,2026-06-26T11:37:02.725Z,4,60,396,649.7421875,262.87890625,639.3916371421014,209.47949613711415,734.8000000000466,True
test-verif,2026-06-26T11:37:02.725Z,5,60,396,80.00390625,379.60546875,642.069695543175,389.17213498466606,105.4000000001397,False
test-verif,2026-06-26T11:37:02.725Z,6,60,396,688.234375,673.26953125,648.9140919692882,648.1991863382557,1223.3000000000466,True
test-verif,2026-06-26T11:37:02.725Z,7,60,396,689.27734375,281.9140625,651.9209922394316,214.75171077599344,694.2000000001863,True
test-verif,2026-06-26T11:37:02.725Z,8,60,396,696.35546875,277.74609375,643.5341107415261,248.93701196708864,649.6000000000931,True
test-verif,2026-06-26T11:37:02.725Z,9,60,396,668.63671875,635.92578125,645.7592504316038,593.3818782100843,700.6999999999534,True
test-verif,2026-06-26T11:37:02.725Z,10,60,396,699.1015625,550.3359375,638.9962855380109,493.74570157105677,766.5,True
test-verif,2026-06-26T11:38:31.713Z,1,60,396,699.35546875,661.18359375,649.1022348694678,610.9750939622666,1667.0,True
test-verif,2026-06-26T11:38:31.713Z,2,60,396,723.33203125,146.0546875,653.0828734620753,101.44659174803404,722.5,True
test-verif,2026-06-26T11:38:31.713Z,3,60,396,677.890625,236.84765625,648.9444827208038,166.7688545185079,736.1000000000931,True
test-verif,2026-06-26T11:38:31.713Z,4,60,396,714.109375,341.875,651.1206729181367,264.5242427248955,616.3999999999069,True
test-verif,2026-06-26T11:38:31.713Z,5,60,396,687.93359375,697.37890625,653.930183290792,662.9804831101329,882.6000000000931,True
test-verif,2026-06-26T11:38:31.713Z,6,60,396,732.12890625,526.7578125,639.4150526155435,456.79739997200136,732.8999999999069,False
test-verif,2026-06-26T11:38:31.713Z,7,60,396,677.23828125,212.03515625,644.425499297817,174.5748745692689,632.5,True
test-verif,2026-06-26T11:38:31.713Z,8,60,396,721.10546875,514.30859375,648.429376888251,477.24010754547317,746.0,True
test-verif,2026-06-26T11:38:31.713Z,9,60,396,704.484375,300.83203125,639.6302249963053,263.21807518660046,647.7999999998137,True
test-verif,2026-06-26T11:38:31.713Z,10,60,396,690.796875,584.08203125,645.2003247959208,561.3846348307221,613.8999999999069,True
test-verif,2026-06-26T11:44:53.226Z,1,60,396,666.84765625,307.33984375,651.5886176158508,245.0045511028919,632.3000000002794,True
test-verif,2026-06-26T11:44:53.226Z,2,60,396,647.1328125,119.0859375,646.2208745016375,65.29135285692614,633.7999999998137,True
test-verif,2026-06-26T11:44:53.226Z,3,60,396,680.66796875,167.90625,652.0191268404839,127.14821059614765,665.8999999999069,True
test-verif,2026-06-26T11:44:53.226Z,4,60,396,709.71484375,329.37890625,656.896489578898,295.6150638506481,698.5,True
test-verif,2026-06-26T11:44:53.226Z,5,60,396,671.4765625,639.2890625,656.1614147892559,623.8042190637074,659.7999999998137,True
test-verif,2026-06-26T11:44:53.226Z,6,60,396,652.1640625,538.30078125,653.1990205182487,504.4273969999843,678.5,False
test-verif,2026-06-26T11:44:53.226Z,7,60,396,660.20703125,415.4140625,643.8658583901013,372.05091119198323,666.3000000002794,True
test-verif,2026-06-26T11:44:53.226Z,8,60,396,696.47265625,513.875,646.3006640070838,473.0849603651075,789.0,True
test-verif,2026-06-26T11:44:53.226Z,9,60,396,665.54296875,627.58984375,639.6912146317846,572.3004569118756,698.2999999998137,True
test-verif,2026-06-26T11:44:53.226Z,10,60,396,689.1796875,700.171875,638.7162316936171,666.0519106212336,669.3000000002794,True
test-verif,2026-06-26T12:05:50.468Z,1,60,396,716.00390625,665.69921875,653.3852255944089,636.3813995848019,1133.3999999999069,True
test-verif,2026-06-26T12:05:50.468Z,2,60,396,679.11328125,699.453125,647.0576640543886,671.2073695128828,851.2000000001863,True
test-verif,2026-06-26T12:05:50.468Z,3,60,396,680.1328125,331.765625,644.4789753519038,278.64536328478226,616.3999999999069,True
test-verif,2026-06-26T12:05:50.468Z,4,60,396,706.921875,316.609375,657.938912002344,258.085715683958,585.8999999999069,True
test-verif,2026-06-26T12:05:50.468Z,5,60,396,713.91015625,414.7578125,656.9374122142303,395.66116705779376,600.2000000001863,True
test-verif,2026-06-26T12:05:50.468Z,6,60,396,683.3515625,228.90625,644.2132034775159,187.47428386229325,851.7000000001863,True
test-verif,2026-06-26T12:05:50.468Z,7,60,396,682.98046875,627.078125,656.9728619619915,610.3831258642869,800.8000000002794,True
test-verif,2026-06-26T12:05:50.468Z,8,60,396,704.3671875,550.96875,657.8326824374009,493.6396163094413,667.5,True
test-verif,2026-06-26T12:05:50.468Z,9,60,396,677.171875,271.265625,641.7425508408595,229.7847019609566,619.2000000001863,True
