subject_id,collected_at,x,y,ts,dx,dy,pressure
test-verif,2026-06-26T11:37:02.725Z,695.0,546.0,1717.2999999998135,-4.0,-3.0,0.5
test-verif,2026-06-26T11:37:02.725Z,683.0,536.0,1733.0999999998603,-12.0,-10.0,0.5
test-verif,2026-06-26T11:37:02.725Z,673.0,527.0,1750.3999999999069,-10.0,-9.0,0.5
test-verif,2026-06-26T11:37:02.725Z,664.0,519.0,1766.5,-9.0,-8.0,0.5
test-verif,2026-06-26T11:37:02.725Z,660.0,516.0,1783.1999999999534,-4.0,-3.0,0.5
test-verif,2026-06-26T11:37:02.725Z,648.0,504.0,1799.7999999998135,-12.0,-12.0,0.5
test-verif,2026-06-26T11:37:02.725Z,643.0,499.0,1816.5,-5.0,-5.0,0.5
test-verif,2026-06-26T11:37:02.725Z,638.0,494.0,1833.3999999999069,-5.0,-5.0,0.5
test-verif,2026-06-26T11:37:02.725Z,637.0,492.0,1849.6999999999537,-1.0,-2.0,0.5
test-verif,2026-06-26T11:37:02.725Z,633.0,487.0,1866.3999999999069,-4.0,-5.0,0.5
test-verif,2026-06-26T11:37:02.725Z,631.0,485.0,1883.0999999998603,-2.0,-2.0,0.5
test-verif,2026-06-26T11:37:02.725Z,630.0,483.0,1899.6999999999537,-1.0,-2.0,0.5
test-verif,2026-06-26T11:37:02.725Z,629.0,482.0,1916.3999999999069,-1.0,-1.0,0.5
test-verif,2026-06-26T11:37:02.725Z,628.0,481.0,1933.0,-1.0,-1.0,0.5
test-verif,2026-06-26T11:37:02.725Z,628.0,481.0,1949.7999999998135,0.0,0.0,0.5
test-verif,2026-06-26T11:37:02.725Z,627.0,480.0,1967.2999999998135,-1.0,-1.0,0.5
test-verif,2026-06-26T11:37:02.725Z,627.0,480.0,1983.2999999998135,0.0,0.0,0.5
test-verif,2026-06-26T11:37:02.725Z,626.0,480.0,1999.6999999999537,-1.0,0.0,0.5
test-verif,2026-06-26T11:37:02.725Z,626.0,479.0,2016.3999999999069,0.0,-1.0,0.5
test-verif,2026-06-26T11:37:02.725Z,626.0,479.0,2033.0,0.0,0.0,0.5
test-verif,2026-06-26T11:37:02.725Z,626.0,479.0,2050.5999999998603,0.0,0.0,0.5
test-verif,2026-06-26T11:37:02.725Z,626.0,485.0,24263.199999999953,0.0,6.0,0.5
test-verif,2026-06-26T11:37:02.725Z,629.0,490.0,24267.899999999907,3.0,5.0,0.5
test-verif,2026-06-26T11:37:02.725Z,639.0,499.0,24289.899999999907,10.0,9.0,0.5
test-verif,2026-06-26T11:37:02.725Z,651.0,509.0,24300.5,12.0,10.0,0.5
test-verif,2026-06-26T11:37:02.725Z,659.0,515.0,24318.09999999986,8.0,6.0,0.5
test-verif,2026-06-26T11:37:02.725Z,689.0,540.0,24333.799999999817,30.0,25.0,0.5
test-verif,2026-06-26T11:37:02.725Z,703.0,550.0,24350.5,14.0,10.0,0.5
test-verif,2026-06-26T11:37:02.725Z,736.0,575.0,24367.299999999817,33.0,25.0,0.5
test-verif,2026-06-26T11:37:02.725Z,756.0,587.0,24384.0,20.0,12.0,0.5
test-verif,2026-06-26T11:37:02.725Z,771.0,594.0,24400.699999999953,15.0,7.0,0.5
test-verif,2026-06-26T11:37:02.725Z,783.0,597.0,24417.299999999817,12.0,3.0,0.5
test-verif,2026-06-26T11:37:02.725Z,789.0,598.0,24434.09999999986,6.0,1.0,0.5
test-verif,2026-06-26T11:37:02.725Z,796.0,598.0,24450.699999999953,7.0,0.0,0.5
test-verif,2026-06-26T11:37:02.725Z,801.0,597.0,24467.399999999907,5.0,-1.0,0.5
test-verif,2026-06-26T11:37:02.725Z,807.0,594.0,24483.899999999907,6.0,-3.0,0.5
test-verif,2026-06-26T11:37:02.725Z,813.0,593.0,24500.59999999986,6.0,-1.0,0.5
test-verif,2026-06-26T11:37:02.725Z,820.0,592.0,24517.199999999953,7.0,-1.0,0.5
test-verif,2026-06-26T11:37:02.725Z,825.0,591.0,24533.899999999907,5.0,-1.0,0.5
test-verif,2026-06-26T11:37:02.725Z,830.0,591.0,24550.699999999953,5.0,0.0,0.5
test-verif,2026-06-26T11:37:02.725Z,836.0,589.0,24583.899999999907,6.0,-2.0,0.5
test-verif,2026-06-26T11:37:02.725Z,839.0,589.0,24600.5,3.0,0.0,0.5
test-verif,2026-06-26T11:37:02.725Z,842.0,589.0,24617.09999999986,3.0,0.0,0.5
test-verif,2026-06-26T11:37:02.725Z,846.0,589.0,24633.799999999817,4.0,0.0,0.5
test-verif,2026-06-26T11:37:02.725Z,848.0,589.0,24650.399999999907,2.0,0.0,0.5
test-verif,2026-06-26T11:37:02.725Z,849.0,590.0,24667.09999999986,1.0,1.0,0.5
test-verif,2026-06-26T11:37:02.725Z,850.0,590.0,24700.399999999907,1.0,0.0,0.5
test-verif,2026-06-26T11:38:31.713Z,746.0,779.0,89343.0,0.0,0.0,0.5
test-verif,2026-06-26T11:38:31.713Z,744.0,768.0,89369.19999999995,-2.0,-11.0,0.5
test-verif,2026-06-26T11:38:31.713Z,744.0,765.0,89385.8999999999,0.0,-3.0,0.5
test-verif,2026-06-26T11:38:31.713Z,742.0,753.0,89402.69999999995,-2.0,-12.0,0.5
test-verif,2026-06-26T11:38:31.713Z,741.0,745.0,89419.09999999986,-1.0,-8.0,0.5
test-verif,2026-06-26T11:38:31.713Z,738.0,724.0,89434.69999999995,-3.0,-21.0,0.5
test-verif,2026-06-26T11:38:31.713Z,738.0,718.0,89452.3999999999,0.0,-6.0,0.5
test-verif,2026-06-26T11:38:31.713Z,737.0,703.0,89469.09999999986,-1.0,-15.0,0.5
test-verif,2026-06-26T11:38:31.713Z,737.0,694.0,89485.8999999999,0.0,-9.0,0.5
test-verif,2026-06-26T11:38:31.713Z,737.0,688.0,89502.59999999986,0.0,-6.0,0.5
test-verif,2026-06-26T11:38:31.713Z,737.0,684.0,89519.29999999981,0.0,-4.0,0.5
test-verif,2026-06-26T11:38:31.713Z,737.0,680.0,89535.59999999986,0.0,-4.0,0.5
test-verif,2026-06-26T11:38:31.713Z,736.0,676.0,89552.5,-1.0,-4.0,0.5
test-verif,2026-06-26T11:38:31.713Z,736.0,673.0,89569.09999999986,0.0,-3.0,0.5
test-verif,2026-06-26T11:38:31.713Z,736.0,670.0,89585.69999999995,0.0,-3.0,0.5
test-verif,2026-06-26T11:38:31.713Z,736.0,668.0,89602.19999999995,0.0,-2.0,0.5
test-verif,2026-06-26T11:38:31.713Z,736.0,665.0,89619.0,0.0,-3.0,0.5
test-verif,2026-06-26T11:38:31.713Z,736.0,664.0,89635.59999999986,0.0,-1.0,0.5
test-verif,2026-06-26T11:38:31.713Z,736.0,664.0,89652.5,0.0,0.0,0.5
test-verif,2026-06-26T11:38:31.713Z,736.0,670.0,111070.09999999986,0.0,6.0,0.5
test-verif,2026-06-26T11:38:31.713Z,740.0,683.0,111087.0,4.0,13.0,0.5
test-verif,2026-06-26T11:38:31.713Z,745.0,695.0,111102.8999999999,5.0,12.0,0.5
test-verif,2026-06-26T11:38:31.713Z,752.0,704.0,111120.0,7.0,9.0,0.5
