subject_id,collected_at,trial_index,target_x,target_y,click_x,click_y,appeared_at,clicked_at,travel_time_ms,error_px
asheesh,2026-06-26T06:02:44.576Z,21,581.5571879780828,168.01272425350928,580,175,701581.700000003,703223.200000003,1641.5,7.158690994629046
asheesh,2026-06-26T06:02:44.576Z,22,501.51974261437584,765.8328604089182,507,765,703314.1000000089,704889.8000000119,1575.7000000029802,5.543182973114956
asheesh,2026-06-26T06:02:44.576Z,23,501.99412207874565,526.1170792073337,501,525,704981.0,706589.900000006,1608.9000000059605,1.4953744223126715
asheesh,2026-06-26T06:02:44.576Z,24,336.2621281321804,195.14557361850467,333,190,706681.0,708440.8000000119,1759.800000011921,6.092487818142445
asheesh,2026-06-26T06:02:44.576Z,25,180.89399841992406,491.70239884146145,174,493,708532.3000000119,710039.900000006,1507.5999999940395,7.015054025490897
amehta,2026-06-26T10:03:59.436Z,1,348.735892164751,286.14846944242976,345,299,193415.5,195413.40000000596,1997.9000000059605,13.383524496141135
amehta,2026-06-26T10:03:59.436Z,2,530.6536388252186,681.7248193194047,529,674,195504.30000001192,196563.0,1058.699999988079,7.899832585676624
amehta,2026-06-26T10:03:59.436Z,3,117.19875308457716,195.13666225146574,102,204,196653.40000000596,197797.0,1143.5999999940395,17.594341458847964
amehta,2026-06-26T10:03:59.436Z,4,212.77216021251056,486.24992475554035,222,488,197887.30000001192,199013.20000000298,1125.8999999910593,9.39232614983337
amehta,2026-06-26T10:03:59.436Z,5,614.7914740608146,485.524449623681,604,492,199103.70000000298,200014.0,910.2999999970198,12.585255860787246
amehta,2026-06-26T10:03:59.436Z,6,641.6431629216294,565.4908706579098,657,568,200105.20000000298,200946.20000000298,841.0,15.560468344717552
amehta,2026-06-26T10:03:59.436Z,7,380.94503296098964,470.72266426483645,383,480,201038.0,202162.90000000596,1124.9000000059605,9.502202264441731
amehta,2026-06-26T10:03:59.436Z,8,501.8179757131108,400.8108049060822,506,400,202254.10000000894,203247.10000000894,993.0,4.259898089374683
amehta,2026-06-26T10:03:59.436Z,9,484.8146096205823,661.5531582540322,494,660,203338.5,204345.90000000596,1007.4000000059605,9.3157767783673
amehta,2026-06-26T10:03:59.436Z,10,49.69782022198897,277.62016602406425,57,290,204437.30000001192,205297.0,859.6999999880791,14.372964857054598
amehta,2026-06-26T10:03:59.436Z,11,148.26920883301696,269.69755709656454,158,252,205387.80000001192,206029.80000001192,642.0,20.19633194225122
amehta,2026-06-26T10:03:59.436Z,12,158.14623893965302,380.8434312336278,152,395,206121.40000000596,206945.90000000596,824.5,15.433233372833163
amehta,2026-06-26T10:03:59.436Z,13,519.3195685621524,707.7700713762447,521,707,207037.20000000298,207963.70000000298,926.5,1.8484749773307318
amehta,2026-06-26T10:03:59.436Z,14,188.6246086981238,780.5118437881283,200,783,208054.70000000298,209113.40000000596,1058.7000000029802,11.644331178967564
amehta,2026-06-26T10:03:59.436Z,15,658.3767007498359,554.9647287026603,660,557,209204.70000000298,210196.90000000596,992.2000000029802,2.6033497093856224
