subject_id,collected_at,segment,key_id,key_category,press_ts,release_ts,dwell_ms
amehta_merged,2026-06-26T10:03:59.436Z,pangram,i,alphanum,22334.40000000596,22456.80000001192,122.40000000596046
amehta_merged,2026-06-26T10:03:59.436Z,pangram,n,alphanum,22466.20000000298,22563.20000000298,97.0
amehta_merged,2026-06-26T10:03:59.436Z,pangram,h,alphanum,23198.0,23273.60000000894,75.6000000089407
amehta_merged,2026-06-26T10:03:59.436Z,pangram,l,alphanum,23419.10000000894,23515.90000000596,96.79999999701975
amehta_merged,2026-06-26T10:03:59.436Z,pangram,y,alphanum,23690.30000001192,23794.10000000894,103.79999999701975
amehta_merged,2026-06-26T10:03:59.436Z,pangram,space,space,23790.20000000298,23895.0,104.79999999701975
amehta_merged,2026-06-26T10:03:59.436Z,pangram,q,alphanum,24349.20000000298,24473.10000000894,123.90000000596046
amehta_merged,2026-06-26T10:03:59.436Z,pangram,u,alphanum,24477.5,24597.20000000298,119.70000000298025
amehta_merged,2026-06-26T10:03:59.436Z,pangram,i,alphanum,24549.30000001192,24645.5,96.19999998807909
amehta_merged,2026-06-26T10:03:59.436Z,pangram,c,alphanum,24683.90000000596,24715.5,31.599999994039536
amehta_merged,2026-06-26T10:03:59.436Z,pangram,k,alphanum,24833.5,24957.5,124.0
amehta_merged,2026-06-26T10:03:59.436Z,pangram,space,space,24989.90000000596,25123.20000000298,133.29999999701977
amehta_merged,2026-06-26T10:03:59.436Z,pangram,d,alphanum,25284.80000001192,25384.60000000894,99.79999999701975
amehta_merged,2026-06-26T10:03:59.436Z,pangram,a,alphanum,25399.10000000894,25575.60000000894,176.5
amehta_merged,2026-06-26T10:03:59.436Z,pangram,f,alphanum,25574.40000000596,25707.20000000298,132.79999999701977
amehta_merged,2026-06-26T10:03:59.436Z,pangram,t,alphanum,25811.70000000298,25930.80000001192,119.1000000089407
amehta_merged,2026-06-26T10:03:59.436Z,pangram,space,space,25915.90000000596,26022.90000000596,107.0
amehta_merged,2026-06-26T10:03:59.436Z,pangram,z,alphanum,26133.40000000596,26258.0,124.59999999403954
amehta_merged,2026-06-26T10:03:59.436Z,pangram,e,alphanum,26300.5,26439.80000001192,139.30000001192093
amehta_merged,2026-06-26T10:03:59.436Z,pangram,b,alphanum,26465.5,26542.5,77.0
amehta_merged,2026-06-26T10:03:59.436Z,pangram,r,alphanum,26628.20000000298,26751.60000000894,123.40000000596046
amehta_merged,2026-06-26T10:03:59.436Z,pangram,a,alphanum,26723.60000000894,26879.10000000894,155.5
amehta_merged,2026-06-26T10:03:59.436Z,pangram,s,alphanum,26863.60000000894,27015.30000001192,151.70000000298023
amehta_merged,2026-06-26T10:03:59.436Z,pangram,space,space,27023.70000000298,27089.80000001192,66.1000000089407
amehta_merged,2026-06-26T10:03:59.436Z,pangram,j,alphanum,27182.30000001192,27274.40000000596,92.09999999403954
amehta_merged,2026-06-26T10:03:59.436Z,pangram,u,alphanum,27374.30000001192,27445.5,71.19999998807907
amehta_merged,2026-06-26T10:03:59.436Z,pangram,m,alphanum,27599.5,27731.90000000596,132.40000000596046
amehta_merged,2026-06-26T10:03:59.436Z,pangram,p,alphanum,28007.30000001192,28122.90000000596,115.59999999403954
amehta_merged,2026-06-26T10:03:59.436Z,pangram,t,alphanum,28752.80000001192,28873.40000000596,120.59999999403954
amehta_merged,2026-06-26T10:03:59.436Z,pangram,h,alphanum,28852.5,28947.90000000596,95.40000000596046
amehta_merged,2026-06-26T10:03:59.436Z,pangram,e,alphanum,28892.40000000596,29010.20000000298,117.79999999701975
amehta_merged,2026-06-26T10:03:59.436Z,pangram,space,space,29058.10000000894,29161.80000001192,103.70000000298025
amehta_merged,2026-06-26T10:03:59.436Z,pangram,g,alphanum,29245.30000001192,29361.60000000894,116.29999999701975
amehta_merged,2026-06-26T10:03:59.436Z,pangram,i,alphanum,29345.60000000894,29441.30000001192,95.70000000298025
amehta_merged,2026-06-26T10:03:59.436Z,pangram,v,alphanum,29511.80000001192,29656.60000000894,144.79999999701977
